,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
70,BLR,2022,-1.22100031375885,-0.851723372936249,-0.579731464385986,2.17745011943276,7994.64806074889,25.4,3.574,-0.802096605300903
71,BLR,2023,-1.25094270706177,-0.991465747356415,-0.665028035640717,2.77230766294755,7829.05313660622,25.4,3.461,-0.729365646839142
72,CHE,2012,1.81180202960968,1.88282430171967,2.13839817047119,5.81910221569192,85836.2076767359,31.6,4.491,1.41833603382111
73,CHE,2013,1.79604589939117,1.81637847423553,2.12489438056946,-3.52948637026792,87304.3305813557,32.5,4.747,1.4011402130127
74,CHE,2014,1.99025726318359,2.10431861877441,2.1475772857666,2.89084632358215,88724.9909402638,32.5,4.826,1.40265262126923
75,CHE,2015,1.90928101539612,1.96745336055756,2.09474182128906,17.1083833328203,83806.4476003837,32.3,4.801,1.32649421691895
76,CHE,2016,1.90616285800934,1.97178089618683,1.94298648834229,24.2480735008832,82153.0745447889,33.0,4.918,1.28985404968262
77,CHE,2017,1.88867199420929,2.01780319213867,1.94518792629242,20.6035378169251,82254.3769269767,32.7,4.797,1.24231648445129
78,CHE,2018,1.88756000995636,1.99707686901093,1.96969377994537,-22.1051198346507,85217.3691512274,33.1,4.713,1.3194819688797
79,CHE,2019,1.86265933513641,1.91622769832611,1.94492661952972,1.21642491474438,84121.9310304414,34.0,4.394,1.31097543239594
80,CHE,2020,1.77689027786255,1.97202301025391,2.04542946815491,-32.546976043457,85897.7843338323,33.7,4.817,1.17624020576477
81,CHE,2021,1.76798534393311,1.99079787731171,1.95883810520172,-14.4091790381318,93446.4344518943,32.7,5.013,1.11537563800812
82,CHE,2022,1.75118839740753,2.04943490028381,2.00936198234558,-1.34268979434697,93245.7952120851,32.7,4.122,1.15974533557892
83,CHE,2023,1.76172566413879,2.13492703437805,2.02199912071228,-5.94811440796524,99564.710026145,32.7,4.043,1.07144391536713
84,CYP,2012,1.09355938434601,1.38360106945038,1.24330234527588,279.360988608571,28991.935546875,34.3,12.097,0.635126054286957
85,CYP,2013,1.02995848655701,1.35990357398987,1.23852777481079,108.374905080724,27797.45703125,37.0,16.131,0.563347160816193
86,CYP,2014,1.07471680641174,1.13519954681396,1.07067537307739,222.763974755191,27244.3515625,35.6,16.277,0.551882088184357
