Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Haiti","HTI","41.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Honduras","HND","53.4","50","49.9","49.2","NA","NA","NA","NA","48.2","48.9","49.4","49.8"
Gini index,"SI.POV.GINI","Hong Kong SAR, China","HKG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Hungary","HUN","30.8","31.5","30.9","30.4","NA","NA","29.2","29.7","30","29.6","30.6","30.3"
Gini index,"SI.POV.GINI","Iceland","ISL","26.8","25.4","27.8","26.8","NA","NA","NA","NA","NA","NA","26.1","27.2"
Gini index,"SI.POV.GINI","India","IND","NA","NA","NA","34.7","NA","NA","32.8","33.8","33.8","34.5","35.9","34.7"
Gini index,"SI.POV.GINI","Indonesia","IDN","37.1","38.9","38.8","38.2","36.1","35.5","35.5","35.3","35.4","36.3","36.4","36.9"
Gini index,"SI.POV.GINI","Iran, Islamic Rep.","IRN","34.4","34","34.8","35.3","NA","34.8","35.5","35.8","36.5","37.4","36.7","35.9"
Gini index,"SI.POV.GINI","Iraq","IRQ","29.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Ireland","IRL","33.2","33.5","31.9","31.8","NA","NA","30.1","29.2","30.8","30.6","31.4","32.8"
Gini index,"SI.POV.GINI","Isle of Man","IMN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Israel","ISR","41.3","39.9","39.8","39.7","NA","NA","37.9","37.8","38.3","38.6","38.2","39"
Gini index,"SI.POV.GINI","Italy","ITA","35.2","34.9","34.7","35.4","NA","NA","34.8","35.2","34.6","35.2","35.9","35.2"
Gini index,"SI.POV.GINI","Jamaica","JAM","NA","NA","NA","NA","NA","NA","40.2","NA","NA","35.6","NA","NA"
Gini index,"SI.POV.GINI","Japan","JPN","NA","32.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Jordan","JOR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Kazakhstan","KAZ","28.2","27.1","27","26.8","NA","NA","29.2","28.7","28","27.8","27.5","27.2"
Gini index,"SI.POV.GINI","Kenya","KEN","NA","NA","NA","40.8","NA","NA","38.7","36.2","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Kiribati","KIR","NA","NA","NA","NA","NA","NA","NA","NA","27.8","NA","NA","NA"
Gini index,"SI.POV.GINI","Korea, Dem. People's Rep.","PRK","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Korea, Rep.","KOR","31.6","NA","31.2","NA","NA","NA","32.9","32.7","33.2","33.7","34.9","35.2"
Gini index,"SI.POV.GINI","Kosovo","XKX","29","26.3","27.3","26.5","NA","NA","NA","NA","NA","NA","29","26.7"
Gini index,"SI.POV.GINI","Kuwait","KWT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Kyrgyz Republic","KGZ","27.4","28.8","26.8","29","NA","26.4","28.8","29","29.7","27.7","27.3","26.8"
Gini index,"SI.POV.GINI","Lao PDR","LAO","36","NA","NA","NA","NA","NA","NA","NA","NA","38.8","NA","NA"
Gini index,"SI.POV.GINI","Latvia","LVA","35.2","35.5","35.1","34.2","NA","NA","34.3","35.7","34.5","35.1","35.6","34.3"
Gini index,"SI.POV.GINI","Lebanon","LBN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Lesotho","LSO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","44.9","NA"
Gini index,"SI.POV.GINI","Liberia","LBR","NA","NA","33.2","NA","NA","NA","NA","NA","NA","NA","NA","35.3"
Gini index,"SI.POV.GINI","Libya","LBY","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Liechtenstein","LIE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Lithuania","LTU","35.1","35.3","37.7","37.4","NA","NA","36.7","36","35.3","35.7","37.3","38.4"
Gini index,"SI.POV.GINI","Luxembourg","LUX","34.3","32","31.2","32.9","NA","NA","32.7","33.4","34.2","35.4","34.5","31.7"
Gini index,"SI.POV.GINI","Macao SAR, China","MAC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","North Macedonia","MKD","38.1","36.2","35.2","35.6","NA","NA","NA","NA","33.5","33","34.2","34.5"
Gini index,"SI.POV.GINI","Madagascar","MDG","42.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Malawi","MWI","NA","NA","NA","NA","NA","NA","NA","NA","38.5","NA","NA","44.7"
Gini index,"SI.POV.GINI","Malaysia","MYS","NA","41.3","NA","41.1","NA","NA","40.7","NA","NA","41.2","NA","NA"
Gini index,"SI.POV.GINI","Maldives","MDV","NA","NA","NA","NA","NA","NA","NA","NA","29.3","NA","NA","31.3"
Gini index,"SI.POV.GINI","Mali","MLI","NA","NA","NA","NA","NA","NA","35.7","NA","NA","36","NA","NA"
Gini index,"SI.POV.GINI","Malta","MLT","29.4","28.8","29","29.4","NA","NA","NA","31.4","31","28.7","29.2","29.1"
Gini index,"SI.POV.GINI","Marshall Islands","MHL","NA","NA","NA","NA","NA","NA","NA","NA","35.5","NA","NA","NA"
Gini index,"SI.POV.GINI","Mauritania","MRT","NA","NA","32.6","NA","NA","NA","NA","NA","32","NA","NA","NA"
Gini index,"SI.POV.GINI","Mauritius","MUS","38.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","36.8","NA"
Gini index,"SI.POV.GINI","Mexico","MEX","49.6","NA","48.9","NA","NA","43.5","NA","44.6","NA","46","NA","46.9"
Gini index,"SI.POV.GINI","Micronesia, Fed. Sts.","FSM","NA","40.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Moldova","MDA","29.2","28.5","26.8","27","NA","NA","25.7","NA","26","25.7","25.9","26.3"
Gini index,"SI.POV.GINI","Monaco","MCO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Mongolia","MNG","33.8","NA","32","NA","NA","31.4","NA","NA","NA","32.7","NA","32.3"
Gini index,"SI.POV.GINI","Montenegro","MNE","41.2","39","38.8","39","NA","NA","34.3","35.4","35.7","36.8","36.9","38.5"
Gini index,"SI.POV.GINI","Morocco","MAR","NA","39.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Mozambique","MOZ","NA","NA","54","NA","NA","NA","NA","NA","50.3","NA","NA","NA"
Gini index,"SI.POV.GINI","Myanmar","MMR","NA","NA","NA","38.1","NA","NA","NA","NA","NA","NA","30.7","NA"
Gini index,"SI.POV.GINI","Namibia","NAM","NA","NA","NA","59.1","NA","NA","NA","NA","NA","NA","NA","NA"
